Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
RealityY,ExpTrialStim/Square_B_2.png,"In REALITY, there is ONE cube",h,b,TB-Ig,1,1,0,1,1,0,0,0,0,1,B,-,SB2,SB,0,13,13,21,NA,NA,NA,NA,NA,113.335880300001,0.00115959999675396,114.06918069999664,114.169298599998,0.8301890000002459,116.1024000000034,116.50263149999957,116.6049587000016,116.6049587000016,b,1,0.538302199995087,117.16922429999975,117.16922429999975,117.16922429999975,117.16922429999975,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Square_Square_B_3.png,"In REALITY, there is ONE cube",b,h,TB-K-B,2,2,0,2,2,0,0,0,0,1,B,PropFalse,SA3: SB1,SG: SB,0,14,14,86,NA,NA,NA,NA,NA,117.16922429999975,0.00171160000172676,117.9025427000015,118.00263209999684,0.8295855999967898,119.9359401000038,120.33594550000272,120.43811149999964,120.43811149999964,h,1,1.192958899999212,121.6524533999982,121.6524533999982,121.6524533999982,121.6524533999982,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Triangle_B_Square_1.png,"In REALITY, there are ZERO cubes",b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC1: TA1,SB: TO,0,15,15,104,NA,NA,NA,NA,NA,121.6524533999982,0.00115110000479035,122.38581859999977,122.48582439999882,0.8303157999980613,124.41929579999852,124.819301800002,124.9214617999969,124.9214617999969,h,1,1.5665656000055606,126.51900330000352,126.51900330000352,126.51900330000352,126.51900330000352,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Square_Square_NB_6.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA1: SB3,SG: SB,0,16,16,233,NA,NA,NA,NA,NA,126.51900330000352,3.8450000283773e-4,127.25234510000156,127.35246529999858,0.8313874000014039,129.2857670000012,129.68597579999914,129.78808600000048,129.78808600000048,b,1,1.3711054000013974,131.18565379999927,131.18565379999927,131.18565379999927,131.18565379999927,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Square_Triangle_B_10.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB1: TA2,SP: TY,0,17,17,267,NA,NA,NA,NA,NA,131.18565379999927,4.0959999751066e-4,131.91916299999866,132.01911349999864,0.8311660999970627,133.95241990000068,134.35254400000122,134.45486420000088,134.45486420000088,b,1,1.2242441999987932,135.70259809999698,135.70259809999698,135.70259809999698,135.70259809999698,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeN,ExpTrialStim/Square_Square_NB_5.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA3: SB2,SB: SP,0,18,18,286,NA,NA,NA,NA,NA,135.70259809999698,0.00169950000417884,136.43577679999726,136.5358946999986,0.8295364000005065,138.46912999999768,138.8691850000032,138.97133320000285,138.97133320000285,h,1,1.3398282999987714,140.33567420000327,140.33567420000327,140.33567420000327,140.33567420000327,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Square_B_2.png,"In REALITY, there are ZERO cubes",b,h,TB-Ig,1,1,0,1,1,0,0,0,0,0,B,PropFalse,SB2,SB,0,19,19,75,NA,NA,NA,NA,NA,140.33567420000327,0.00168900000426219,141.06910960000096,141.16924660000225,0.8295698000001721,143.1025608999989,143.50258719999692,143.60476039999776,143.60476039999776,h,1,1.5705049999960463,145.20232720000058,145.20232720000058,145.20232720000058,145.20232720000058,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Triangle_NB_1.png,"In REALITY, there are ZERO cubes",h,b,TB-K,1,0,1,1,0,1,0,0,0,0,NB,-,TA1,TO,0,20,20,0,NA,NA,NA,NA,NA,145.20232720000058,0.00171399999817367,145.93577380000352,146.03586560000258,0.8293640999982017,147.96923210000386,148.36923419999948,148.47138919999998,148.47138919999998,b,1,3.3273909999988973,151.81899970000086,151.81899970000086,151.81899970000086,151.81899970000086,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Square_Triangle_B_5.png,Adam THINKS there are ZERO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,0,B,PropFalse,SB2: TA1,SG: TR,0,21,21,196,NA,NA,NA,NA,NA,151.81899970000086,3.8919999497011e-4,152.55241180000303,152.65236739999818,0.8310027999978047,154.58587219999754,154.9857192999989,155.08811669999704,155.08811669999704,h,1,5.894952299997385,161.00243429999682,161.00243429999682,161.00243429999682,161.00243429999682,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Square_Square_NB_2.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA2: SB3,SB: SG,0,22,22,229,NA,NA,NA,NA,NA,161.00243429999682,0.0017158000046038,161.73568140000134,161.83572170000116,0.8295834000018658,163.76909159999923,164.1690535000016,164.27136069999688,164.27136069999688,b,1,2.351704399996379,166.65242710000166,166.65242710000166,166.65242710000166,166.65242710000166,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Triangle_B_1.png,Adam THINKS there is ONE cube,b,h,TB-Ig,1,0,1,1,0,1,0,0,0,1,B,PropFalse,TA2,TR,0,23,23,180,NA,NA,NA,NA,NA,166.65242710000166,0.00172629999724449,167.38567440000045,167.48563200000353,0.8295432999948389,169.41913419999764,169.81912539999755,169.92141799999808,169.92141799999808,h,1,1.597874099999899,171.53553049999755,171.53553049999755,171.53553049999755,171.53553049999755,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Square_Triangle_B_5.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB2: TA1,SG: TR,0,24,24,262,NA,NA,NA,NA,NA,171.53553049999755,3.8260000292211e-4,172.26903019999736,172.36910139999964,0.831094100001792,174.3024602000005,174.70248739999806,174.80452450000303,174.80452450000303,b,1,2.4506429999964894,177.2855608000027,177.2855608000027,177.2855608000027,177.2855608000027,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Square_B_Square_2.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SA2: SC3,SB: SP,0,25,25,43,NA,NA,NA,NA,NA,177.2855608000027,4.4809999963035e-4,178.0190255999987,178.11916650000057,0.8311715999952867,180.052362800001,180.45240329999797,180.5546314000021,180.5546314000021,b,1,1.0043571999995038,181.5860418000011,181.5860418000011,181.5860418000011,181.5860418000011,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/B_Square_3.png,Adam THINKS there are ZERO cubes,h,b,FB-Ig,1,1,0,0,0,0,1,1,0,0,B,-,SD1,SP,0,26,26,148,NA,NA,NA,NA,NA,181.5860418000011,0.00171129999944241,182.3189818000028,182.4191071000023,0.8294640999956755,184.35248700000375,184.7524357000002,184.8548851000014,184.8548851000014,b,1,1.136216400002013,186.01909819999855,186.01909819999855,186.01909819999855,186.01909819999855,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Triangle_Triangle_NB_3.png,Adam THINKS there are TWO cubes,b,h,TB-K,2,0,2,2,0,2,0,0,0,2,NB,PropFalse,TA3: TB1,TR: TY,0,27,27,170,NA,NA,NA,NA,NA,186.01909819999855,0.00170369999977992,186.7523186000035,186.8524103000018,0.8295222999950056,188.78556050000043,189.1856979000004,189.2879399000012,189.2879399000012,h,1,3.534774200001266,192.85218390000227,192.85218390000227,192.85218390000227,192.85218390000227,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Triangle_Triangle_B_4.png,"In REALITY, there are ZERO cubes",h,b,TB-K-B,2,0,2,2,0,2,0,0,0,0,B,-,TA2: TB1,TY: TR,0,28,28,29,NA,NA,NA,NA,NA,192.85218390000227,6.1110000387998e-4,193.58560469999793,193.6857533000002,0.8311204000056023,195.61893899999995,196.01910679999855,196.12131260000024,196.12131260000024,b,1,3.925651199999266,200.06902460000128,200.06902460000128,200.06902460000128,200.06902460000128,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Triangle_Triangle_B_5.png,Adam KNOWS there are ZERO cubes,h,b,TB-Ig,2,0,2,2,0,2,0,0,0,0,B,-,TA3: TB2,TR: TO,0,29,29,238,NA,NA,NA,NA,NA,200.06902460000128,0.001694899998256,200.80226029999903,200.9022171999968,0.8293216000020038,202.83573040000192,203.23574419999932,203.3378782,203.3378782,b,1,1.7977993000022252,205.1521575000006,205.1521575000006,205.1521575000006,205.1521575000006,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Square_B_Square_2.png,"In REALITY, there are ZERO cubes",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SA2: SC3,SB: SP,0,30,30,97,NA,NA,NA,NA,NA,205.1521575000006,0.00152099999831989,205.88558940000075,205.9855422000037,0.8295383000004222,207.9190987000038,208.3189265999972,208.42122570000356,208.42122570000356,h,1,1.2502210000020568,209.70228959999804,209.70228959999804,209.70228959999804,209.70228959999804,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Triangle_B_1.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,-,TA2,TR,0,31,31,18,NA,NA,NA,NA,NA,209.70228959999804,0.00170100000104866,210.4355379999979,210.53567949999703,0.8296002999995835,212.46903190000012,212.86900810000225,212.97117900000012,212.97117900000012,h,0,0.8118256000016117,213.8023048000032,213.8023048000032,213.8023048000032,213.8023048000032,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Square_B_Triangle_2.png,"In REALITY, there are TWO cubes",b,h,TB-Ig,2,1,1,1,1,0,1,0,1,2,B,PropFalse,SD3: TD2,SP: TY,0,32,32,79,NA,NA,NA,NA,NA,213.8023048000032,0.00170690000231843,214.53546780000033,214.6355841999975,0.8295731000034721,216.56902219999756,216.9689997000023,217.0711439000006,217.0711439000006,h,1,3.975870700000087,221.06901520000247,221.06901520000247,221.06901520000247,221.06901520000247,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Square_NB_3.png,"In REALITY, there is ONE cube",h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SB2,SG,0,33,33,5,NA,NA,NA,NA,NA,221.06901520000247,0.0016853000051924,221.802202400002,221.90230000000156,0.8294968000045628,223.8354773000028,224.23563229999857,224.33766379999724,224.33766379999724,b,1,0.7173639999964507,225.08559480000255,225.08559480000255,225.08559480000255,225.08559480000255,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Square_Square_B_9.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB1,SB: SG,0,34,34,142,NA,NA,NA,NA,NA,225.08559480000255,0.00169779999851016,225.8188594000021,225.91897769999923,0.829567799999495,227.8523684000029,228.2522917000024,228.35450750000015,228.35450750000015,b,1,1.6521837000036612,230.0355175000004,230.0355175000004,230.0355175000004,230.0355175000004,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeN,ExpTrialStim/B_Square_1.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,1,1,0,0,0,0,1,1,0,0,B,PropFalse,SC2,SG,0,35,35,308,NA,NA,NA,NA,NA,230.0355175000004,0.00152230000094277,230.7688769000015,230.86902689999988,0.8299310000002151,232.80217180000184,233.20231069999863,233.30453419999685,233.30453419999685,h,1,1.6941043000042555,235.01882509999996,235.01882509999996,235.01882509999996,235.01882509999996,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Square_B_Square_7.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SA3: SC2,SG: SP,0,36,36,156,NA,NA,NA,NA,NA,235.01882509999996,8.2799999654525e-4,235.75214360000248,235.8522729999968,0.8306852000023355,237.78558930000145,238.18563990000257,238.28780689999985,238.28780689999985,b,1,1.351324700000987,239.66871099999844,239.66871099999844,239.66871099999844,239.66871099999844,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Square_Square_B_2.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB3,SB: SP,0,37,37,247,NA,NA,NA,NA,NA,239.66871099999844,0.00197810000099707,240.40215709999757,240.5023067000002,0.8312432000020635,242.4355824000013,242.83540589999757,242.9378190999996,242.9378190999996,b,1,0.5411170000006678,243.5022487000024,243.5022487000024,243.5022487000024,243.5022487000024,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/Triangle_Triangle_NB_2.png,"In REALITY, there are ZERO cubes",h,b,TB-K,2,0,2,2,0,2,0,0,0,0,NB,-,TA2: TB3,TO: TR,0,38,38,7,NA,NA,NA,NA,NA,243.5022487000024,0.00189849999878788,244.2354847000024,244.33559139999852,0.829532299998391,246.26891160000375,246.66890989999956,246.77105049999955,246.77105049999955,b,1,1.148212300002342,247.9355543999991,247.9355543999991,247.9355543999991,247.9355543999991,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Square_Square_B_7.png,Adam THINKS there are ZERO cubes,b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA1: SB2,SG: SP,0,39,39,194,NA,NA,NA,NA,NA,247.9355543999991,0.00171439999394351,248.6687729999976,248.7689102000004,0.829510699993989,250.7019438999996,251.10212570000297,251.204436,251.204436,h,1,0.9864903999987292,252.21882560000088,252.21882560000088,252.21882560000088,252.21882560000088,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeY,ExpTrialStim/Triangle_Triangle_B_1.png,Adam KNOWS there are ZERO cubes,h,b,TB-Ig,2,0,2,2,0,2,0,0,0,0,B,-,TA1: TB2,TY: TO,0,40,40,234,NA,NA,NA,NA,NA,252.21882560000088,0.00191859999904409,252.9521397999997,253.0520612000037,0.8295433000021148,254.98560510000243,255.3855859000032,255.4877944999971,255.4877944999971,b,1,1.5268838999982108,257.03543170000194,257.03543170000194,257.03543170000194,257.03543170000194,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeN,ExpTrialStim/Triangle_Triangle_B_9.png,Adam KNOWS there is ONE cube,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA3: TB1,TO: TR,0,41,41,296,NA,NA,NA,NA,NA,257.03543170000194,0.00170730000536423,257.7688229999985,257.8689094000001,0.8298539000024903,259.802222899998,260.20221100000344,260.30440649999946,260.30440649999946,h,1,1.430828600001405,261.7517977000025,261.7517977000025,261.7517977000025,261.7517977000025,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
