Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
BeliefN,ExpTrialStim/Square_Triangle_B_7.png,Adam THINKS there are TWO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,2,B,PropFalse,SA1: TB3,SB: TO,0,295,295,198,NA,NA,NA,NA,NA,1421.773158899974,0.00166900001931935,1422.5063929999887,1422.606525299983,0.8294847000215668,1424.5398891999794,1424.939779999986,1425.0419095999969,1425.0419095999969,h,1,1.386597000004258,1426.4564297999896,1426.4564297999896,1426.4564297999896,1426.4564297999896,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Triangle_NB_3.png,"In REALITY, there are ZERO cubes",h,b,TB-K,1,0,1,1,0,1,0,0,0,0,NB,-,TB2,TR,0,296,296,2,NA,NA,NA,NA,NA,1426.4564297999896,0.00113079999573528,1427.1896978000004,1427.2896818000008,0.8302805999992415,1429.22297849998,1429.6231217999884,1429.7253063999815,1429.7253063999815,b,1,1.2878507999994326,1431.0397879999946,1431.0397879999946,1431.0397879999946,1431.0397879999946,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefY,ExpTrialStim/Square_Square_NB_5.png,Adam THINKS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA3: SB2,SB: SP,0,297,297,124,NA,NA,NA,NA,NA,1431.0397879999946,0.0016530999855604,1431.773031699995,1431.8731552999816,0.8295929000014439,1433.806381299975,1434.2064388,1434.3087247999792,1434.3087247999792,b,1,1.0715611000196077,1435.4062447999895,1435.4062447999895,1435.4062447999895,1435.4062447999895,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefY,ExpTrialStim/Square_Square_B_4.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB1,SG: SP,0,298,298,137,NA,NA,NA,NA,NA,1435.4062447999895,4.8349998542107e-4,1436.1395473999728,1436.2398187999788,0.8312557000026572,1438.1729879999766,1438.5730124999827,1438.6752290999866,1438.6752290999866,b,1,0.8174665999831632,1439.523104699998,1439.523104699998,1439.523104699998,1439.523104699998,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Triangle_Triangle_B_5.png,"In REALITY, there are ZERO cubes",h,b,TB-K-B,2,0,2,2,0,2,0,0,0,0,B,-,TA3: TB2,TR: TO,0,299,299,30,NA,NA,NA,NA,NA,1439.523104699998,0.00166700000409036,1440.2563143999723,1440.356437599985,0.8295089000021107,1442.2896350999945,1442.6897125999967,1442.7919554999971,1442.7919554999971,b,1,0.8122532999841496,1443.622738599981,1443.622738599981,1443.622738599981,1443.622738599981,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Square_B_2.png,Adam KNOWS there is ONE cube,b,h,TB-Ig,1,1,0,1,1,0,0,0,0,1,B,PropTrueNoKnowledge,SB2,SB,0,300,300,291,NA,NA,NA,NA,NA,1443.622738599981,3.8559999666176e-4,1444.3563187999823,1444.456481399975,0.8312419000139926,1446.3896903999848,1446.7896229999897,1446.891799199977,1446.891799199977,h,1,1.5207980000122916,1448.4394876999722,1448.4394876999722,1448.4394876999722,1448.4394876999722,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Triangle_B_Triangle_1.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,2,0,2,1,0,1,1,0,1,0,B,-,TA3: TD1,TY: TR,0,301,301,22,NA,NA,NA,NA,NA,1448.4394876999722,0.00136629998451098,1449.1729605,1449.273120400001,0.8298183000006247,1451.2064064999868,1451.6064444999793,1451.7083565999928,1451.7083565999928,b,1,1.0485422000056133,1452.7729004999856,1452.7729004999856,1452.7729004999856,1452.7729004999856,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityN,ExpTrialStim/Square_Square_NB_1.png,"In REALITY, there are ZERO cubes",b,h,TB-K,2,2,0,2,2,0,0,0,0,0,NB,PropFalse,SA1: SB2,SP: SB,0,302,302,66,NA,NA,NA,NA,NA,1452.7729004999856,3.6940001882612e-4,1453.5062387999787,1453.606381199992,0.8309673000185285,1455.539742599998,1455.939634499984,1456.0417414999974,1456.0417414999974,h,1,0.7225149000005331,1456.7894746999957,1456.7894746999957,1456.7894746999957,1456.7894746999957,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefN,ExpTrialStim/Triangle_Triangle_NB_1.png,Adam THINKS there is ONE cube,b,h,TB-K,2,0,2,2,0,2,0,0,0,1,NB,PropFalse,TA1: TB2,TY: TO,0,303,303,168,NA,NA,NA,NA,NA,1456.7894746999957,9.0489999274723e-4,1457.522938899987,1457.6229319999984,0.8305463999859057,1459.556274099974,1459.9563746999777,1460.05836309999,1460.05836309999,h,1,0.9063940000196452,1460.9896956000011,1460.9896956000011,1460.9896956000011,1460.9896956000011,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityN,ExpTrialStim/Triangle_B_Square_3.png,"In REALITY, there are TWO cubes",b,h,FB-Ig,2,1,1,1,0,1,1,1,0,2,B,PropFalse,SD1: TA2,SG: TR,0,304,304,106,NA,NA,NA,NA,NA,1460.9896956000011,0.00165669998386874,1461.72292249999,1461.8230249999906,0.8296047000039835,1463.7562418999732,1464.1563443999912,1464.2584144999855,1464.2584144999855,h,1,1.7863217999984045,1466.0728907999874,1466.0728907999874,1466.0728907999874,1466.0728907999874,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
