Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
Belief,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_2.png,Adam THINKS there are ZERO cubes,0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,91,91,131,NA,NA,NA,NA,NA,0.00148630002513527,435.2423148001544,435.6197178999428,435.7198418001644,437.71967230015434,438.11988260014914,438.222076700069,438.222076700069,h,1,0.9655047999694945,439.20288220001385,439.20288220001385,439.20288220001385,439.20288220001385,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_3.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,92,92,260,NA,NA,NA,NA,NA,0.00169939990155398,439.2733952000271,439.65303060016595,439.7530539999716,441.753118700115,442.1530759001616,442.2553073000163,442.2553073000163,h,1,0.5553651999216527,442.8364355000667,442.8364355000667,442.8364355000667,442.8364355000667,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_1.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,93,93,0,NA,NA,NA,NA,NA,0.00168320001102983,442.9244514000602,443.30308510013856,443.40301760006696,445.4031297001056,445.80308070010506,445.905346600106,445.905346600106,h,1,0.7693572998978198,446.7028348001186,446.7028348001186,446.7028348001186,446.7028348001186,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_7.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,94,94,264,NA,NA,NA,NA,NA,0.0016780998557806,446.7736378000118,447.1529860000592,447.2531262999401,449.253051900072,449.65326160006225,449.755315599963,449.755315599963,h,1,0.5833342999685556,450.36940490012057,450.36940490012057,450.36940490012057,450.36940490012057,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_1.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,95,95,18,NA,NA,NA,NA,NA,3.8670003414154e-4,450.4412114000879,450.8195033001248,450.9197977001313,452.9198340000585,453.31977290008217,453.4219412000384,453.4219412000384,h,1,0.716410499997437,454.16946949996054,454.16946949996054,454.16946949996054,454.16946949996054,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_1.png,Adam THINKS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,96,96,108,NA,NA,NA,NA,NA,4.0560006164014e-4,454.2421661999542,454.6196183001157,454.7198034999892,456.71965100010857,457.1198204001412,457.2220252000261,457.2220252000261,h,1,0.5489940999541432,457.78628879995085,457.78628879995085,457.78628879995085,457.78628879995085,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,97,97,154,NA,NA,NA,NA,NA,0.00148830004036426,457.8835412999615,458.25302259996533,458.35309999994934,460.3529302000534,460.7530639001634,460.8553847000003,460.8553847000003,h,1,0.6592083999421448,461.5363257001154,461.5363257001154,461.5363257001154,461.5363257001154,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_6.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,98,98,263,NA,NA,NA,NA,NA,0.00168629991821944,461.6399491999764,462.019505900098,462.1197226999793,464.1197548001074,464.5197014999576,464.62213940010406,464.62213940010406,h,1,0.5160838000010699,465.169419300044,465.169419300044,465.169419300044,465.169419300044,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_5.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,99,99,204,NA,NA,NA,NA,NA,5.3019984625279e-4,465.25073050009087,465.6362638999708,465.7364759000484,467.73626299994066,468.1362566000316,468.2385768999811,468.2385768999811,b,1,1.1960978000424802,469.4530345001258,469.4530345001258,469.4530345001258,469.4530345001258,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_5.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,100,100,156,NA,NA,NA,NA,NA,0.00169890001416206,469.5300670999568,469.9027788999956,470.0030503999442,472.00287019996904,472.4030174999498,472.5053169999738,472.5053169999738,h,1,0.6568467000033706,473.1861225999892,473.1861225999892,473.1861225999892,473.1861225999892,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
